,PacketTotalNum,DurationTime,PacketLenMean,PayloadLenMean,TimeGapMean
34491,5,65967.6614010334,84.0,22.0,16491.91535025835
34492,5,65967.66132998466,64.0,22.0,16491.915332496166
34493,5,65324.53429889679,64.0,22.0,16331.133574724197
34494,5,65324.534152030945,84.0,22.0,16331.133538007736
34495,2,-5101.50491809845,131.0,89.0,-5101.50491809845
34496,5,74524.99708199501,64.0,22.0,18631.249270498753
34497,1,0.0,79.0,37.0,0.0
34498,1,0.0,79.0,37.0,0.0
34499,1,0.0,79.0,37.0,0.0
34500,3,0.0010380744934082031,361.6666666666667,319.6666666666667,0.0005190372467041016
34501,5,579.5648741722107,86.0,24.0,144.89121854305267
34502,5,579.5648860931396,66.0,24.0,144.8912215232849
34503,5,-9321.095389127731,64.0,22.0,-2330.273847281933
34504,5,-9321.095525979996,84.0,22.0,-2330.273881494999
34505,1,0.0,79.0,37.0,0.0
34506,1,0.0,415.0,373.0,0.0
34507,5,1924.6595060825348,84.0,22.0,481.1648765206337
34508,5,1924.6596641540527,64.0,22.0,481.1649160385132
34509,2,-5101.504886865616,131.0,89.0,-5101.504886865616
34510,1,0.0,75.0,33.0,0.0
34511,1,0.0,387.0,345.0,0.0
34512,1,0.0,79.0,37.0,0.0
34513,1,0.0,415.0,373.0,0.0
34514,1,0.0,79.0,37.0,0.0
34515,1,0.0,415.0,373.0,0.0
34516,1,0.0,75.0,33.0,0.0
34517,1,0.0,387.0,345.0,0.0
34518,1,0.0,75.0,33.0,0.0
34519,1,0.0,387.0,345.0,0.0
34520,5,1742.7709958553314,86.0,24.0,435.69274896383286
34521,5,1742.770910024643,66.0,24.0,435.69272750616074
34522,5,66447.55400800705,84.0,22.0,16611.888502001762
34523,5,66447.55398106575,64.0,22.0,16611.888495266438
34524,5,1558.4115228652954,84.0,22.0,389.60288071632385
34525,5,1558.411600112915,64.0,22.0,389.60290002822876
34526,5,63748.48676609993,84.0,22.0,15937.121691524982
34527,5,63748.48695421219,64.0,22.0,15937.121738553047
34528,3,-5101.502901792526,131.0,89.0,-2550.751450896263
34529,5,1291452.8516747952,64.0,22.0,322863.2129186988
34530,5,64784.26541399956,84.0,22.0,16196.06635349989
34531,1,0.0,75.0,33.0,0.0
34532,1,0.0,387.0,345.0,0.0
34533,1,0.0,79.0,37.0,0.0
34534,1,0.0,415.0,373.0,0.0
34535,1,0.0,75.0,33.0,0.0
34536,1,0.0,387.0,345.0,0.0
34537,5,65408.43475985527,64.0,22.0,16352.108689963818
34538,5,65408.43481183052,84.0,22.0,16352.10870295763
34539,1,0.0,75.0,33.0,0.0
34540,1,0.0,387.0,345.0,0.0
34541,1,0.0,79.0,37.0,0.0
34542,1,0.0,415.0,373.0,0.0
34543,3,-5101.503437995911,131.0,89.0,-2550.7517189979553
34544,1,0.0,75.0,33.0,0.0
34545,1,0.0,387.0,345.0,0.0
34546,2,67582.10468912125,131.0,89.0,67582.10468912125
34547,5,3536084.564996004,84.0,22.0,884021.141249001
34548,5,3536084.5648920536,64.0,22.0,884021.1412230134
34549,5,66654.1840980053,64.0,22.0,16663.546024501324
34550,5,66654.18398499489,84.0,22.0,16663.545996248722
34551,5,64346.26152086258,64.0,22.0,16086.565380215645
34552,5,64346.26154589653,84.0,22.0,16086.565386474133
34553,5,74605.35228991508,84.0,22.0,18651.33807247877
34554,5,74605.35217404366,64.0,22.0,18651.338043510914
34555,3,-5101.503128051758,131.0,89.0,-2550.751564025879
34556,3,-4759.025140047073,131.0,89.0,-2379.5125700235367
34557,5,64596.374141931534,84.0,22.0,16149.093535482883
34558,5,64596.37394595146,64.0,22.0,16149.093486487865
34559,5,1818.3382489681244,84.0,22.0,454.5845622420311
34560,5,1818.3381130695343,64.0,22.0,454.5845282673836
34561,5,-9586.97574710846,84.0,22.0,-2396.743936777115
34562,5,-9586.975881814957,64.0,22.0,-2396.743970453739
34563,1,0.0,75.0,33.0,0.0
34564,1,0.0,387.0,345.0,0.0
